"","source","Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Attendance","HHW","AHW","HO","AO","year_short","data_url"
"1","1","SC0","05/08/2023",12:30:00,"Celtic","Ross County",4,2,"H",3,0,"H","N Walsh",18,7,12,2,6,14,4,8,0,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"2","1","SC0","05/08/2023",15:00:00,"Dundee","Motherwell",1,1,"D",0,1,"A","D Dickinson",17,13,2,3,12,12,7,12,0,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"3","1","SC0","05/08/2023",15:00:00,"Livingston","Aberdeen",0,0,"D",0,0,"D","J Beaton",12,11,2,0,22,13,7,7,3,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"4","1","SC0","05/08/2023",15:00:00,"St Johnstone","Hearts",0,2,"A",0,0,"D","S McLean",9,16,3,9,14,13,6,9,2,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"5","1","SC0","05/08/2023",17:15:00,"Kilmarnock","Rangers",1,0,"H",0,0,"D","W Collum",10,18,3,4,7,10,2,8,0,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"6","1","SC0","06/08/2023",15:00:00,"Hibernian","St Mirren",2,3,"A",0,2,"A","E Anderson",14,8,7,4,14,7,2,7,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"7","1","SC0","12/08/2023",15:00:00,"Rangers","Livingston",4,0,"H",1,0,"H","D Robertson",21,6,9,2,9,9,5,4,1,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"8","1","SC0","12/08/2023",15:00:00,"Ross County","St Johnstone",2,0,"H",1,0,"H","W Collum",19,12,8,3,11,14,6,7,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"9","1","SC0","12/08/2023",15:00:00,"St Mirren","Dundee",2,1,"H",2,0,"H","C Steven",15,7,2,4,8,8,4,3,2,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"10","1","SC0","13/08/2023",12:00:00,"Aberdeen","Celtic",1,3,"A",1,2,"A","K Clancy",11,15,2,10,12,11,9,9,0,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"11","1","SC0","13/08/2023",15:00:00,"Hearts","Kilmarnock",0,0,"D",0,0,"D","D Dickinson",8,15,1,5,12,15,6,5,3,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"12","1","SC0","13/08/2023",15:00:00,"Motherwell","Hibernian",2,1,"H",0,0,"D","M MacDermid",10,4,3,1,14,16,5,2,1,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"13","1","SC0","26/08/2023",12:30:00,"Ross County","Rangers",0,2,"A",0,2,"A","D Munro",8,24,2,9,10,11,4,8,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"14","1","SC0","26/08/2023",15:00:00,"Celtic","St Johnstone",0,0,"D",0,0,"D","M MacDermid",19,5,5,2,9,12,19,1,1,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"15","1","SC0","26/08/2023",15:00:00,"Hibernian","Livingston",2,3,"A",0,1,"A","C Napier",13,8,3,4,12,10,9,3,2,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"16","1","SC0","26/08/2023",15:00:00,"Motherwell","Kilmarnock",2,1,"H",0,1,"A","C Graham",13,12,7,3,15,19,1,6,6,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"17","1","SC0","27/08/2023",15:00:00,"Dundee","Hearts",1,0,"H",0,0,"D","A Muir",12,10,4,5,16,10,3,8,1,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"18","1","SC0","27/08/2023",15:00:00,"St Mirren","Aberdeen",2,2,"D",0,1,"A","J Beaton",13,4,6,2,9,14,4,3,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"19","1","SC0","02/09/2023",15:00:00,"Kilmarnock","Ross County",0,1,"A",0,0,"D","K Clancy",15,9,4,4,9,17,14,2,0,5,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"20","1","SC0","02/09/2023",15:00:00,"Livingston","St Mirren",1,1,"D",0,0,"D","N Walsh",13,8,2,4,17,13,6,2,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"21","1","SC0","02/09/2023",15:00:00,"St Johnstone","Dundee",2,2,"D",0,1,"A","W Collum",8,12,3,4,13,11,4,6,3,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"22","1","SC0","03/09/2023",12:00:00,"Rangers","Celtic",0,1,"A",0,1,"A","D Robertson",17,7,3,5,15,15,6,2,1,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"23","1","SC0","03/09/2023",15:00:00,"Aberdeen","Hibernian",0,2,"A",0,0,"D","D Munro",10,15,3,7,15,11,7,5,2,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"24","1","SC0","03/09/2023",15:00:00,"Hearts","Motherwell",0,1,"A",0,1,"A","G Irvine",18,8,1,4,10,16,16,5,1,2,0,1,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"25","1","SC0","16/09/2023",12:30:00,"St Johnstone","Rangers",0,2,"A",0,1,"A","N Walsh",3,20,0,6,13,13,3,5,5,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"26","1","SC0","16/09/2023",15:00:00,"Celtic","Dundee",3,0,"H",0,0,"D","G Irvine",19,4,7,1,6,7,9,1,0,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"27","1","SC0","16/09/2023",15:00:00,"Hearts","Aberdeen",2,0,"H",1,0,"H","K Clancy",12,11,4,5,11,12,9,3,4,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"28","1","SC0","16/09/2023",15:00:00,"Kilmarnock","Hibernian",2,2,"D",0,1,"A","D Dickinson",16,11,5,4,16,8,4,4,5,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"29","1","SC0","16/09/2023",15:00:00,"Motherwell","St Mirren",0,1,"A",0,0,"D","M MacDermid",20,9,7,3,6,18,8,3,0,5,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"30","1","SC0","16/09/2023",15:00:00,"Ross County","Livingston",1,1,"D",0,0,"D","E Anderson",16,5,5,2,14,13,6,2,0,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"31","1","SC0","23/09/2023",12:30:00,"Livingston","Celtic",0,3,"A",0,1,"A","J Beaton",15,14,4,7,17,6,2,4,5,2,0,1,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"32","1","SC0","23/09/2023",15:00:00,"Dundee","Kilmarnock",2,2,"D",1,1,"D","D Munro",10,23,3,3,8,12,4,7,1,3,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"33","1","SC0","23/09/2023",15:00:00,"Hibernian","St Johnstone",2,0,"H",1,0,"H","K Clancy",17,12,8,1,9,10,4,4,1,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"34","1","SC0","23/09/2023",15:00:00,"St Mirren","Hearts",1,0,"H",1,0,"H","N Walsh",13,11,5,3,13,12,4,8,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"35","1","SC0","24/09/2023",15:00:00,"Aberdeen","Ross County",4,0,"H",2,0,"H","D Robertson",13,11,6,2,9,10,5,5,0,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"36","1","SC0","24/09/2023",15:00:00,"Rangers","Motherwell",1,0,"H",1,0,"H","A Muir",17,9,7,4,14,15,2,2,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"37","1","SC0","30/09/2023",12:30:00,"Motherwell","Celtic",1,2,"A",0,0,"D","W Collum",10,24,4,6,12,11,4,6,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"38","1","SC0","30/09/2023",15:00:00,"Hibernian","Dundee",0,0,"D",0,0,"D","J Beaton",23,11,9,2,7,10,14,1,1,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"39","1","SC0","30/09/2023",15:00:00,"Kilmarnock","St Mirren",1,1,"D",1,1,"D","C Graham",12,8,2,3,15,16,7,6,2,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"40","1","SC0","30/09/2023",15:00:00,"Rangers","Aberdeen",1,3,"A",0,1,"A","S McLean",18,14,5,6,18,4,5,8,2,1,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"41","1","SC0","30/09/2023",15:00:00,"Ross County","Hearts",0,1,"A",0,0,"D","D Dickinson",9,17,1,3,15,10,5,5,3,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"42","1","SC0","30/09/2023",15:00:00,"St Johnstone","Livingston",1,1,"D",1,0,"H","G Grainger",12,7,2,3,14,14,5,2,2,2,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"43","1","SC0","07/10/2023",15:00:00,"Celtic","Kilmarnock",3,1,"H",2,0,"H","M MacDermid",27,6,12,1,9,7,11,1,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"44","1","SC0","07/10/2023",15:00:00,"Hearts","Hibernian",2,2,"D",1,0,"H","W Collum",21,17,5,3,12,9,7,4,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"45","1","SC0","07/10/2023",15:00:00,"Livingston","Motherwell",2,0,"H",0,0,"D","D Robertson",11,3,3,2,12,15,3,5,1,3,0,1,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"46","1","SC0","08/10/2023",12:00:00,"St Mirren","Rangers",0,3,"A",0,1,"A","N Walsh",3,13,0,8,8,16,3,10,1,2,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"47","1","SC0","08/10/2023",15:00:00,"Aberdeen","St Johnstone",0,0,"D",0,0,"D","D Munro",10,9,3,0,11,11,5,3,0,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"48","1","SC0","21/10/2023",15:00:00,"Kilmarnock","Livingston",3,1,"H",2,1,"H","C Napier",13,8,5,1,9,10,5,4,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"49","1","SC0","21/10/2023",15:00:00,"Rangers","Hibernian",4,0,"H",2,0,"H","D Robertson",23,7,8,1,12,5,5,4,1,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"50","1","SC0","22/10/2023",14:15:00,"Hearts","Celtic",1,4,"A",0,2,"A","N Walsh",13,19,6,7,16,11,3,5,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"51","1","SC0","24/10/2023",19:45:00,"Dundee","Ross County",0,0,"D",0,0,"D","C Steven",15,6,9,4,7,13,7,4,1,6,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
